sku,qty
WK-Silk-Velvet-Trouser-L,2
VT-Dress-Laceup-I,1
VT-Dress-Laceup-II,2
VT-Dress-Laceup-III,1
VT-Trouser-Wide-I,1
VT-Trouser-Wide-II,2
VT-Trouser-Wide-III,1
VT-Skirt-Long-I,2
VT-Skirt-Long-II,1
VT-Skirt-Long-III,1
VT-Knit-Stripe-I,1
VT-Knit-Stripe-II,2
VT-Knit-Jacket-Sleeveless-I,1
VT-Knit-Jacket-Sleeveless-II,1
VT-Knit-Jacket-Sleeveless-III,1
VT-Knit-Jacket-Sleeveless-IV,1
VT-Knit-Jacket-Zip-I,1
VT-Knit-Jacket-Zip-II,2
VT-Knit-Jacket-Zip-III,1
VT-Blazer-I,1
VT-Blazer-II,1
VT-Blazer-III,1
VT-Blazer-IV,1
VT-Wool-Jacket-Pin-I,1
VT-Wool-Jacket-Pin-II,1
VT-Wool-Jacket-Pin-III,1
VT-Wool-Jacket-Pin-IV,1
VT-TShirt-Long-I,1
VT-TShirt-Long-II,1
VT-TShirt-Long-III,1
VT-TShirt-Long-IV,1
VT-Legging-Lace-I,1
VT-Legging-Lace-II,2
VT-Legging-Lace-III,1
VT-Dress-Lace-I,1
VT-Dress-Lace-II,2
VT-Dress-Lace-III,1
VT-Tunic-Flounces-I,1
VT-Tunic-Flounces-II,1
VT-Tunic-Flounces-III,1
VT-Tunic-Flounces-IV,1
VT-Dress-Long-I,1
VT-Dress-Long-II,1
VT-Dress-Long-III,1
VT-Dress-Long-IV,1
VT-Dress-Crinkle-I,1
VT-Dress-Crinkle-II,1
VT-Dress-Crinkle-III,1
LAF-Leonora-Bow-38,3
LAF-Leonora-Bow-40,4
LAF-Leonora-Bow-42,2
LAF-Shirt-Ines-Sleeve-38,3
LAF-Shirt-Ines-Sleeve-40,4
LAF-Shirt-Ines-Sleeve-42,2
LAF-Shirt-Violetta-Pearl-38,3
LAF-Shirt-Violetta-Pearl-40,4
LAF-Shirt-Violetta-Pearl-42,2
LAF-Dress-Pamina-38,3
LAF-Dress-Pamina-40,4
LAF-Dress-Pamina-42,2
LAF-Dress-Gilda-38,1
LAF-Dress-Gilda-40,1
LAF-Dress-Gilda-42,1
LAF-Dress-Michaela-38,3
LAF-Dress-Michaela-40,4
LAF-Dress-Michaela-42,2
LAF-Skirt-Rosa-38,3
LAF-Skirt-Rosa-40,5
LAF-Skirt-Rosa-42,2
LAF-Skirt-Gabrielle-38,3
LAF-Skirt-Gabrielle-40,5
LAF-Skirt-Gabrielle-42,2
LAF-Skirt-Aida-38,3
LAF-Skirt-Aida-40,5
LAF-Skirt-Aida-42,2
LAF-Jacket-38,1
LAF-Jacket-40,2
LAF-Jacket-42,1
LAF-Halter-Top-S,1
LAF-Halter-Top-M,2
LAF-Halter-Top-L,2
LAF-Dress-Quilted-S,1
LAF-Dress-Quilted-M,2
LAF-Dress-Quilted-L,2
LAF-Halter-Chain-Dress-S,1
LAF-Halter-Chain-Dress-M,2
LAF-Halter-Chain-Dress-L,1
LAF-Diamante-Chain-Dress-S,1
LAF-Diamante-Chain-Dress-M,3
LAF-Bow-Skirt-S,2
LAF-Bow-Skirt-M,4
LAF-Bow-Skirt-L,2
G!oze-Dress-Pocket-0,1
G!oze-Dress-Pocket-1,1
G!oze-Dress-Pocket-2,1
G!oze-Dress-Pocket-3,1
G!oze-Trouser-Palazzo-0,1
G!oze-Trouser-Palazzo-1,2
G!oze-Trouser-Palazzo-2,1
G!oze-Knit-Flounce-0,1
G!oze-Knit-Flounce-1,2
G!oze-Knit-Flounce-2,1
G!oze-Top-Flounce-0,1
G!oze-Top-Flounce-1,2
G!oze-Top-Flounce-2,1
G!oze-Trouser-Cropped-Palazzo-0,1
G!oze-Trouser-Cropped-Palazzo-1,2
G!oze-Trouser-Cropped-Palazzo-2,1
G!oze-Knit-Oversized-0,1
G!oze-Knit-Oversized-1,1
G!oze-Knit-Oversized-2,1
G!oze-Knit-Oversized-3,1
Toy G-Trousers-Skinny-B-42,1
Toy G-Trousers-Skinny-B-44,1
Toy G-Trousers-Skinny-B-46,1
Toy G-Trousers-Skinny-G-42,1
Toy G-Trousers-Skinny-G-44,1
Toy G-Trousers-Skinny-G-46,1
Toy G-Dress-Domitilla-42,1
Toy G-Dress-Domitilla-44,1
Toy G-Dress-Domitilla-46,1
Toy G-Shirt-Georgette-42,1
Toy G-Shirt-Georgette-44,1
Toy G-Shirt-Georgette-46,1
Toy G-Knit-Cardi-S,1
Toy G-Knit-Cardi-M,1
Toy G-Knit-Cardi-L,1
Toy G-Stretch-Shoulder-Detail-Dress-S,1
Toy G-Stretch-Shoulder-Detail-Dress-M,1
Toy G-Stretch-Shoulder-Detail-Dress-L,1
Toy G-Federica-Lace-42,1
Toy G-Federica-Lace-44,1
Toy G-Federica-Lace-46,1
Toy G-Silk-Mohair-Knit-S,1
Toy G-Silk-Mohair-Knit-M,1
Toy G-Silk-Mohair-Knit-L,1
